test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter
1,07/02/2022 13:04:51,1,0.02,0.83,247.84558534622192,31.67,0
2,07/02/2022 13:18:31,0,0.09,1.31,1644239122.167867,10.42,1
3,07/02/2022 13:22:55,1,0.02,0.79,233.60412621498108,39.43,0
4,07/02/2022 13:36:34,0,0.01,0.79,1644240205.5987356,11.75,1
5,07/02/2022 13:42:54,1,0.03,0.84,349.2986001968384,39.18,0
6,07/02/2022 13:56:34,0,0.12,1.44,1644241404.8282108,21.32,1
9,07/02/2022 14:27:50,1,0.02,0.85,207.12750029563904,37.72,0
10,07/02/2022 15:07:57,0,0.02,0.86,1644245687.623629,19.6,1
11,07/02/2022 15:21:36,0,0.01,0.82,1644246507.8722775,20.69,1
12,07/02/2022 15:26:14,1,0.04,0.93,246.9131772518158,36.07,1
13,07/02/2022 15:30:11,1,0.04,0.97,205.9601275920868,38.17,0
14,07/02/2022 15:34:15,1,0.03,0.9,213.90960502624512,37.83,1
15,07/02/2022 15:39:03,1,0.02,0.85,257.80203652381897,38.6,1
16,07/02/2022 15:43:25,1,0.05,1.06,230.51852107048035,37.8,0
17,07/02/2022 15:47:48,1,0.01,0.79,233.03985261917114,35.52,0
18,07/02/2022 16:01:28,0,0.01,0.85,1644248899.155748,23.01,1
19,07/02/2022 16:15:07,0,0.02,0.8,1644249718.7710695,27.39,1
20,07/02/2022 16:19:17,1,0.03,0.9,218.9217972755432,38.21,0
21,07/02/2022 16:30:52,0,0.02,0.85,1644250787.8264709,17.98,1
22,07/02/2022 16:41:10,1,0.03,0.88,182.4884238243103,36.75,1
23,07/02/2022 16:45:30,1,0.06,1.1,229.2302896976471,38.22,0
24,07/02/2022 16:50:15,1,0.03,0.86,254.8050856590271,39.75,0
25,07/02/2022 16:55:51,1,0.03,0.81,305.8560163974762,36.97,0
26,07/02/2022 17:06:29,1,0.02,0.93,178.40915846824646,40.01,0
27,07/02/2022 17:10:42,1,0.04,0.95,222.82733035087585,38.72,0
28,07/02/2022 17:24:21,0,0.03,0.89,1644253872.7440958,13.59,1
29,07/02/2022 17:28:08,1,0.03,0.89,196.3954164981842,35.79,0
30,07/02/2022 17:32:16,1,0.03,0.84,217.51900386810303,39.64,0
31,07/02/2022 17:45:55,0,0.01,0.78,1644255166.6682255,16.43,1
32,07/02/2022 17:51:01,1,0.05,1.05,275.5759072303772,38.16,0
33,07/02/2022 17:55:22,1,0.02,0.84,230.07462668418884,39.5,0
34,07/02/2022 17:59:41,1,0.05,0.93,228.93066501617432,37.49,0
35,07/02/2022 18:13:21,0,0.0,0.63,1644256812.2236936,10.89,1
36,07/02/2022 18:17:06,1,0.02,0.84,194.67759823799133,38.08,0
38,07/02/2022 18:34:47,1,0.03,0.84,211.0957052707672,34.68,1
39,07/02/2022 18:38:33,1,0.03,0.94,195.50340032577515,37.92,0
40,07/02/2022 18:52:12,0,0.01,0.77,1644259143.3558927,18.24,1
41,07/02/2022 18:57:30,1,0.04,0.93,286.92519330978394,39.09,0
42,07/02/2022 19:01:15,1,0.03,0.89,195.2296998500824,39.81,0
43,07/02/2022 19:04:45,1,0.04,0.89,179.1880874633789,36.72,1
44,07/02/2022 19:09:13,1,0.04,0.99,237.76282596588135,39.56,0
45,07/02/2022 19:22:53,0,0.01,0.87,1644260984.0889316,18.62,1
47,07/02/2022 19:42:33,1,0.05,1.02,330.21411633491516,37.74,1
49,07/02/2022 19:59:27,1,0.02,0.88,163.81916999816895,39.46,0
50,07/02/2022 20:13:06,0,0.01,0.74,1644263997.4311335,25.69,1
51,07/02/2022 20:19:36,1,0.02,0.7,359.38674235343933,39.11,0
52,07/02/2022 20:33:16,0,0.01,0.81,1644265206.9113688,24.35,1
53,07/02/2022 20:46:56,0,0.01,0.8,1644266026.831577,12.72,1
54,07/02/2022 20:50:13,1,0.02,0.89,166.8171739578247,39.53,0
56,07/02/2022 21:17:32,0,0.09,1.29,1644267863.2155824,11.35,1
57,07/02/2022 21:21:11,1,0.03,0.89,188.6456904411316,36.92,1
58,07/02/2022 21:24:53,1,0.03,0.88,191.74818420410156,38.73,0
59,07/02/2022 21:38:33,0,0.01,0.85,1644269124.3152287,21.22,1
62,07/02/2022 22:09:38,1,0.03,0.88,194.68142580986023,37.28,1
63,07/02/2022 22:23:17,0,0.01,0.49,1644271808.451244,16.67,1
64,07/02/2022 22:31:02,1,0.02,0.79,434.95759320259094,36.37,1
66,07/02/2022 22:51:18,1,0.02,0.76,366.0641145706177,32.89,1
67,07/02/2022 23:04:58,0,0.02,0.91,1644274309.2947862,24.33,1
69,08/02/2022 10:13:24,1,0.03,0.93,223.43067336082458,39.82,0
70,08/02/2022 10:16:53,1,0.02,0.86,178.45779967308044,38.89,0
71,08/02/2022 10:30:33,0,0.0,0.0,1644315444.5133567,6.38,0
72,08/02/2022 10:37:03,1,0.03,0.99,359.451740026474,38.65,1
73,08/02/2022 10:41:38,1,0.05,1.0,244.19647192955017,38.79,0
74,08/02/2022 10:51:57,0,0.0,0.6,1644316928.6121469,11.21,1
75,08/02/2022 11:02:17,0,0.02,0.89,1644317548.1978748,19.99,1
76,08/02/2022 11:07:33,1,0.04,0.98,285.575599193573,40.22,0
77,08/02/2022 11:11:38,1,0.01,0.8,214.56123781204224,34.11,1
78,08/02/2022 11:21:57,0,0.0,0.5,1644318728.1659305,12.62,1
79,08/02/2022 11:32:16,0,0.01,0.65,1644319347.4912052,19.88,1
80,08/02/2022 11:39:03,1,0.01,0.67,376.7885332107544,40.47,0
81,08/02/2022 11:49:23,0,0.08,1.25,1644320373.9910119,11.29,1
82,08/02/2022 11:53:47,1,0.02,0.72,234.42034006118774,41.27,0
83,08/02/2022 11:58:02,1,0.02,0.81,224.70924496650696,38.91,0
84,08/02/2022 12:08:22,0,0.0,0.0,1644321512.9771814,6.07,0
85,08/02/2022 12:18:41,0,0.1,1.32,1644322132.4911027,15.69,1
86,08/02/2022 12:29:01,0,0.01,0.62,1644322751.9572191,16.16,1
87,08/02/2022 12:32:59,1,0.03,0.91,207.61318826675415,40.12,0
88,08/02/2022 12:43:18,0,0.01,0.64,1644323609.530607,12.81,1
89,08/02/2022 12:53:37,0,0.02,0.83,1644324228.883641,24.61,1
90,08/02/2022 13:03:57,0,0.02,0.9,1644324848.2642372,22.06,1
91,08/02/2022 13:14:17,0,0.02,0.74,1644325468.0193753,25.83,1
92,08/02/2022 13:16:58,0,0.08,1.29,1644326087.3209476,39.57,0
93,08/02/2022 14:10:47,0,0.03,0.95,1644328857.8975704,11.22,1
94,08/02/2022 14:14:46,1,0.02,0.78,208.80386996269226,32.56,1
95,08/02/2022 14:18:38,1,0.04,0.93,201.54389905929565,37.26,0
96,08/02/2022 14:28:57,0,0.02,0.85,1644329948.5782833,26.7,1
97,08/02/2022 14:37:20,1,0.01,0.6,471.82841300964355,41.47,0
98,08/02/2022 14:47:39,0,0.01,0.82,1644331070.237414,21.05,1
99,08/02/2022 14:52:40,1,0.02,0.85,270.3645315170288,37.61,0
100,08/02/2022 15:03:00,0,0.0,0.7,1644331991.1590881,13.1,1
101,08/02/2022 15:04:59,0,0.05,1.1,1644332610.6102705,39.77,0
102,08/02/2022 15:36:35,0,0.02,0.85,1644334006.2833636,14.33,1
103,08/02/2022 15:43:51,1,0.03,0.94,405.09481287002563,38.14,0
104,08/02/2022 15:54:10,0,0.01,0.85,1644335061.7363536,25.45,1
105,08/02/2022 16:04:30,0,0.01,0.89,1644335681.338254,20.19,1
106,08/02/2022 16:09:04,1,0.04,0.95,243.60766625404358,35.32,1
107,08/02/2022 16:19:23,0,0.02,0.89,1644336574.6459556,20.87,1
108,08/02/2022 16:21:09,0,0.04,1.07,1644337194.577857,33.4,0
