test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter,,,,,,
7,09/02/2022 19:46:48,1,0.11,1.33,192.964143753052,28.13,0,,,,,,
13,09/02/2022 21:06:55,1,0.04,0.81,662.578660011291,30.3,2,,,,,,
21,09/02/2022 22:48:58,1,0.04,0.82,333.685419082642,27.7,0,,,,,,
23,09/02/2022 23:15:14,1,0.02,0.83,719.36322927475,28.57,0,,,,,,
40,10/02/2022 03:35:40,1,0.03,0.77,296.330723047256,28.57,1,,sii,rmi,,,
43,10/02/2022 04:08:11,1,0.11,1.37,274.679221630096,30.43,4,,0.06,0.9925,398.793512543042,29.8016666666667,1
48,10/02/2022 05:11:25,1,0.05,0.86,472.13366317749,31.37,1,,,,,,
53,10/02/2022 06:09:30,1,0.08,1.17,165.031647920609,32.95,0,,,,,,
56,10/02/2022 06:40:22,1,0.09,1.13,175.642318725586,31.25,0,,,,,,
59,10/02/2022 07:11:15,1,0.09,1.25,174.651628494263,31.11,0,,,,,,
103,10/02/2022 17:30:52,1,0.02,0.71,740.142182826996,25.63,1,,,,,,
104,10/02/2022 17:41:04,1,0.04,0.86,578.319312572479,31.61,3,,,,,,
1,09/02/2022 18:40:15,0,0.01,0.66,1644431226.86676,15.43,1,,,,,,
3,09/02/2022 19:01:54,0,0.03,1.05,1644432525.54962,26.36,1,,,,,,
4,09/02/2022 19:15:36,0,0,0.46,1644433349.07368,20.42,1,,,,,,
5,09/02/2022 19:29:18,0,0,0.79,1644434170.90773,15.08,1,,,,,,
6,09/02/2022 19:43:00,0,0,0.5,1644434992.85227,20.07,1,,,,,,
9,09/02/2022 20:14:12,0,0.02,0.69,1644436864.19268,23.91,1,,,,,,
10,09/02/2022 20:27:53,0,0,0.94,1644437686.17175,25.61,1,,,,,,
11,09/02/2022 20:41:36,0,0,0.77,1644438508.98713,19.25,1,,,,,,
12,09/02/2022 20:55:18,0,0.01,0.76,1644439330.58179,16.68,1,,,,,,
14,09/02/2022 21:20:37,0,0.01,1,1644440850.00785,14.97,1,,,,,,
15,09/02/2022 21:34:19,0,0.02,0.81,1644441671.4255,29.75,3,,,,,,
16,09/02/2022 21:48:01,0,0.02,0.83,1644442493.61514,27.64,1,,,,,,
18,09/02/2022 22:15:26,0,0,0.61,1644444138.39606,31.45,0,,,,,,
19,09/02/2022 22:29:07,0,0.01,0.64,1644444960.28413,30.17,0,,,,,,
20,09/02/2022 22:42:49,0,0.01,0.57,1644445781.76637,19.62,5,,,,,,
22,09/02/2022 23:02:40,0,0,0.61,1644446972.44366,25.5,1,,,,,,
24,09/02/2022 23:28:56,0,0.01,0.66,1644448548.58185,30.72,0,,,,,,
25,09/02/2022 23:42:37,0,0.01,0.99,1644449370.3185,19.68,3,,,,,,
26,09/02/2022 23:56:19,0,0.02,0.83,1644450192.02522,27.42,1,,,,,,
27,10/02/2022 00:10:01,0,0.01,1.02,1644451014.21339,21.91,1,,,,,,
28,10/02/2022 00:23:44,0,0.02,0.91,1644451836.69858,20.66,1,,,,,,
29,10/02/2022 00:37:27,0,0,0.79,1644452659.47615,12.06,1,,,,,,
31,10/02/2022 01:40:03,0,0.01,0.78,1644456415.37043,30.55,1,,,,,,
32,10/02/2022 01:53:45,0,0.01,0.82,1644457237.66101,27.26,1,,,,,,
33,10/02/2022 02:07:26,0,0.01,0.88,1644458059.17975,13.75,1,,,,,,
34,10/02/2022 02:21:08,0,0,0.83,1644458880.3499,22.03,1,,,,,,
35,10/02/2022 02:34:50,0,0.02,0.75,1644459702.96653,30.55,0,,,,,,
36,10/02/2022 02:48:32,0,0,0.82,1644460524.61719,15.6,1,,,,,,
37,10/02/2022 03:02:46,0,0,0.67,1644461346.16605,25.86,1,,,,,,
39,10/02/2022 03:30:10,0,0.01,0.77,1644463022.72637,19.11,2,,,,,,
41,10/02/2022 03:49:21,0,0.02,1.12,1644464173.4779,18.48,1,,,,,,
42,10/02/2022 04:03:03,0,0,0.55,1644464995.39655,18,1,,,,,,
44,10/02/2022 04:21:53,0,0.01,0.76,1644466125.59449,26.94,1,,,,,,
45,10/02/2022 04:35:36,0,0.01,0.79,1644466948.14673,28.02,9,,,,,,
46,10/02/2022 04:49:17,0,0.01,0.88,1644467769.6672,24.25,1,,,,,,
47,10/02/2022 05:02:59,0,0.01,0.7,1644468591.55762,18.76,2,,,,,,
49,10/02/2022 05:25:06,0,0.01,0.99,1644469918.91434,20.76,1,,,,,,
50,10/02/2022 05:38:48,0,0.01,0.65,1644470740.32426,16.84,1,,,,,,
51,10/02/2022 05:52:30,0,0.01,0.78,1644471562.31685,24.57,1,,,,,,
52,10/02/2022 06:06:11,0,0.01,0.69,1644472383.72598,23.62,1,,,,,,
54,10/02/2022 06:23:11,0,0.02,0.95,1644473403.74675,15.9,1,,,,,,
55,10/02/2022 06:36:53,0,0.01,1.06,1644474225.44689,19.5,1,,,,,,
57,10/02/2022 06:54:04,0,0.01,0.78,1644475256.42957,25.4,1,,,,,,
58,10/02/2022 07:07:47,0,0.02,0.97,1644476078.91605,20.25,1,,,,,,
60,10/02/2022 07:24:57,0,0.01,0.82,1644477109.53637,12.71,3,,,,,,
61,10/02/2022 07:38:38,0,0.01,0.73,1644477930.99282,26.62,1,,,,,,
63,10/02/2022 08:06:03,0,0.04,1.06,1644479575.17285,19.81,1,,,,,,
64,10/02/2022 08:19:44,0,0.01,0.86,1644480396.70262,14.76,1,,,,,,
65,10/02/2022 08:33:26,0,0.01,0.91,1644481218.4298,19.78,3,,,,,,
66,10/02/2022 08:47:07,0,0.03,1.01,1644482039.99369,14.67,1,,,,,,
67,10/02/2022 09:00:49,0,0.01,0.96,1644482861.6316,19.89,1,,,,,,
68,10/02/2022 09:14:31,0,0.01,0.91,1644483683.24188,24.18,1,,,,,,
