test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu
1,01/02/2022 10:41:59,0,0.0,0.47,1643711291.8375432,92.56
2,01/02/2022 10:56:20,0,0.0,0.47,1643712152.7365744,92.2
3,01/02/2022 11:10:42,0,0.0,0.47,1643713015.0361536,90.28
4,01/02/2022 11:25:04,0,0.0,0.47,1643713876.5466278,90.11
5,01/02/2022 11:39:25,0,0.0,0.46,1643714737.8520896,92.25
6,01/02/2022 11:53:47,0,0.0,0.47,1643715599.2315857,92.41
7,01/02/2022 12:08:08,0,0.0,0.47,1643716461.1217906,91.61
8,01/02/2022 12:22:30,0,0.0,0.48,1643717322.797927,90.64
9,01/02/2022 12:36:51,0,0.0,0.47,1643718184.1624286,92.59
10,01/02/2022 12:49:21,0,0.0,0.47,1643719045.6689055,90.92
11,01/02/2022 12:52:57,0,0.0,0.48,1643719809.2724857,94.59
12,01/02/2022 12:56:18,0,0.0,0.48,1643720011.075693,90.46
13,01/02/2022 12:59:40,0,0.0,0.49,1643720212.3993704,92.22
14,01/02/2022 13:03:01,0,0.0,0.49,1643720413.8555286,92.95
15,01/02/2022 13:06:23,0,0.0,0.48,1643720615.482664,91.99
16,01/02/2022 13:09:44,0,0.0,0.49,1643720816.941969,92.17
17,01/02/2022 13:13:05,0,0.0,0.48,1643721017.7829115,90.72
18,01/02/2022 13:16:27,0,nan,nan,0.0,nan
19,01/02/2022 13:19:48,0,0.0,0.47,1643721421.0880077,92.22
20,01/02/2022 13:23:10,0,0.0,0.49,1643721622.2619302,90.29
21,01/02/2022 13:26:31,0,0.0,0.48,1643721823.5360255,92.53
22,01/02/2022 13:29:53,0,0.0,0.49,1643722025.079844,91.54
23,01/02/2022 13:33:14,0,0.0,0.5,1643722226.6606188,92.08
24,01/02/2022 13:36:35,0,0.0,0.48,1643722427.8424647,91.56
25,01/02/2022 13:39:57,0,0.0,0.47,1643722629.3563988,89.96
26,01/02/2022 13:43:18,0,0.0,0.49,1643722831.3199227,92.02
27,01/02/2022 13:46:40,0,0.0,0.47,1643723032.5081067,90.28
28,01/02/2022 13:50:01,0,0.0,0.46,1643723234.1291203,91.94
29,01/02/2022 13:53:23,0,0.0,0.48,1643723435.1190643,90.5
