test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter,,,,,
1,03/02/2022 13:35:26,0,0.23,1.86,1643894538.23598,96.5,0,,,,,
3,03/02/2022 14:02:49,0,0.23,1.92,1643896181.79756,92.69,0,,,,,
4,03/02/2022 14:16:31,0,0.21,1.82,1643897003.2555,91.82,0,,,,,
5,03/02/2022 14:26:39,0,0.19,1.71,1643897824.52875,92.31,0,,,,,
6,03/02/2022 14:34:58,0,0.17,1.61,1643898510.03822,94.22,0,,,,,
7,03/02/2022 14:41:59,0,0.21,1.73,1643898931.71531,90.96,0,,,average_success,whole_average_sii,whole_average_rmi
8,03/02/2022 14:49:00,0,0.2,1.71,1643899353.10165,90.86,0,,,0,0.18,1.65
10,03/02/2022 15:03:03,0,0.16,1.56,1643900195.92171,93.33,0,,,,,
11,03/02/2022 15:10:05,0,0.18,1.67,1643900617.41655,91.73,0,,,,,
12,03/02/2022 15:17:06,0,0.16,1.56,1643901038.42282,93.33,0,,,,,
13,03/02/2022 15:24:07,0,0.19,1.74,1643901460.05176,93.21,0,,,,,
14,03/02/2022 15:31:09,0,0.19,1.71,1643901881.25003,91.63,0,,,,,
15,03/02/2022 15:38:10,0,0.19,1.69,1643902303.06718,93.25,0,,,,,
16,03/02/2022 15:45:12,0,0.18,1.7,1643902723.91734,93.32,0,,,,,
17,03/02/2022 15:52:13,0,0.16,1.56,1643903145.90205,93.3,0,,,,,
18,03/02/2022 15:59:14,0,0.17,1.62,1643903567.10967,91.91,0,,,,,
19,03/02/2022 16:06:16,0,0.17,1.64,1643903988.68399,92.04,0,,,,,
20,03/02/2022 16:13:17,0,0.19,1.71,1643904410.23276,93.16,0,,,,,
21,03/02/2022 16:20:19,0,0.2,1.72,1643904831.34005,93.99,0,,,,,
22,03/02/2022 16:27:20,0,0.19,1.72,1643905253.36182,93.38,0,,,,,
23,03/02/2022 16:34:22,0,0.17,1.6,1643905674.3469,91.68,0,,,,,
24,03/02/2022 16:41:23,0,0.18,1.68,1643906095.65915,91.54,0,,,,,
25,03/02/2022 16:48:24,0,0.18,1.66,1643906516.76915,89.74,0,,,,,
26,03/02/2022 16:55:26,0,0.17,1.63,1643906939.12718,90.45,0,,,,,
29,03/02/2022 17:16:30,0,0.21,1.79,1643908202.78183,91.46,0,,,,,
30,03/02/2022 17:21:58,0,0.16,1.57,1643908624.38407,93.88,0,,,,,
33,04/02/2022 01:36:16,0,0.17,1.64,1643938188.19686,92.45,0,,,,,
35,04/02/2022 01:50:19,0,0.16,1.53,1643939031.20905,93.27,0,,,,,
36,04/02/2022 01:57:20,0,0.17,1.59,1643939452.69517,91.74,0,,,,,
37,04/02/2022 02:04:22,0,0.19,1.73,1643939874.48074,92.47,0,,,,,
38,04/02/2022 02:11:23,0,0.18,1.69,1643940295.7268,91.57,0,,,,,
39,04/02/2022 02:18:25,0,0.19,1.67,1643940717.24813,91.92,0,,,,,
40,04/02/2022 02:25:26,0,0.18,1.67,1643941138.51325,91.32,0,,,,,
41,04/02/2022 02:32:27,0,0.16,1.55,1643941560.16137,93.45,0,,,,,
42,04/02/2022 02:39:29,0,0.17,1.59,1643941981.23336,91.82,0,,,,,
43,04/02/2022 02:46:30,0,0.19,1.7,1643942403.08133,93.9,0,,,,,
44,04/02/2022 02:53:32,0,0.16,1.57,1643942824.47985,91.9,0,,,,,
45,04/02/2022 03:00:33,0,0.16,1.59,1643943245.70992,91.35,0,,,,,
46,04/02/2022 03:07:34,0,0.17,1.62,1643943667.30223,93.5,0,,,,,
47,04/02/2022 03:14:36,0,0.18,1.61,1643944088.74741,91.95,0,,,,,
48,04/02/2022 03:21:37,0,0.18,1.65,1643944509.64907,93.43,0,,,,,
49,04/02/2022 03:28:39,0,0.17,1.58,1643944931.09,91.81,0,,,,,
50,04/02/2022 03:35:40,0,0.19,1.72,1643945352.64842,93.69,0,,,,,
51,04/02/2022 03:42:42,0,0.21,1.73,1643945773.62052,93.47,0,,,,,
52,04/02/2022 03:49:43,0,0.14,1.5,1643946195.76349,91.52,0,,,,,
53,04/02/2022 03:56:44,0,0.18,1.61,1643946617.16229,93.63,0,,,,,
54,04/02/2022 04:03:46,0,0.17,1.66,1643947038.6322,91.76,0,,,,,
55,04/02/2022 04:10:47,0,0.18,1.66,1643947459.72911,91.92,0,,,,,
56,04/02/2022 04:17:49,0,0.18,1.62,1643947881.4791,93.42,0,,,,,
57,04/02/2022 04:24:50,0,0.19,1.75,1643948303.02815,93.22,0,,,,,
58,04/02/2022 04:31:51,0,0.2,1.76,1643948724.23123,91.5,0,,,,,
59,04/02/2022 04:38:53,0,0.19,1.73,1643949145.19888,91.97,0,,,,,
60,04/02/2022 04:45:54,0,0.19,1.72,1643949566.73261,92.17,0,,,,,
61,04/02/2022 04:52:56,0,0.23,1.86,1643949987.99587,93.38,0,,,,,
62,04/02/2022 04:59:57,0,0.17,1.61,1643950409.58465,91.42,0,,,,,
63,04/02/2022 05:06:59,0,0.17,1.59,1643950831.17437,92.11,0,,,,,
64,04/02/2022 05:14:00,0,0.18,1.65,1643951252.98243,94.04,0,,,,,
65,04/02/2022 05:21:01,0,0.16,1.55,1643951674.12346,91.49,0,,,,,
67,04/02/2022 05:35:04,0,0.16,1.6,1643952516.59746,93.41,0,,,,,
68,04/02/2022 05:42:05,0,0.18,1.69,1643952937.99401,91.5,0,,,,,
69,04/02/2022 05:49:07,0,0.17,1.66,1643953359.6048,93.58,0,,,,,
70,04/02/2022 05:56:08,0,0.18,1.67,1643953780.80145,92.02,0,,,,,
71,04/02/2022 06:03:10,0,0.18,1.64,1643954202.24949,93.35,0,,,,,
72,04/02/2022 06:10:11,0,0.17,1.64,1643954623.41081,94.02,0,,,,,
73,04/02/2022 06:17:12,0,0.17,1.6,1643955045.12724,91.7,0,,,,,
74,04/02/2022 06:24:14,0,0.18,1.69,1643955466.46184,91.78,0,,,,,
75,04/02/2022 06:31:15,0,0.2,1.72,1643955887.64504,93.39,0,,,,,
76,04/02/2022 06:38:16,0,0.17,1.63,1643956309.31548,91.08,0,,,,,
77,04/02/2022 06:45:18,0,0.18,1.64,1643956730.45578,93.09,0,,,,,
78,04/02/2022 06:52:19,0,0.15,1.54,1643957152.08024,93.13,0,,,,,
79,04/02/2022 06:59:21,0,0.17,1.58,1643957573.13824,93.2,0,,,,,
80,04/02/2022 07:06:22,0,0.16,1.55,1643957994.90822,91.58,0,,,,,
81,04/02/2022 07:13:24,0,0.18,1.62,1643958416.35084,93.03,0,,,,,
82,04/02/2022 07:20:25,0,0.19,1.69,1643958837.77831,91.68,0,,,,,
83,04/02/2022 07:27:26,0,0.18,1.68,1643959259.32302,93.85,0,,,,,
84,04/02/2022 07:34:28,0,0.2,1.71,1643959680.65209,93.01,0,,,,,
85,04/02/2022 07:41:29,0,0.19,1.68,1643960101.46025,93.29,0,,,,,
86,04/02/2022 07:48:31,0,0.2,1.76,1643960522.91471,91.68,0,,,,,
87,04/02/2022 07:55:32,0,0.17,1.59,1643960944.96975,93.4,0,,,,,
89,04/02/2022 08:09:35,0,0.2,1.74,1643961787.88257,94.42,0,,,,,
90,04/02/2022 08:16:37,0,0.17,1.63,1643962209.2118,93.86,0,,,,,
91,04/02/2022 08:23:38,0,0.17,1.64,1643962630.52282,93.46,0,,,,,
92,04/02/2022 08:30:39,0,0.16,1.58,1643963051.74047,91.58,0,,,,,
93,04/02/2022 08:37:41,0,0.17,1.63,1643963473.54235,91.52,0,,,,,
94,04/02/2022 08:44:42,0,0.18,1.69,1643963894.75291,93.84,0,,,,,
95,04/02/2022 08:51:44,0,0.19,1.68,1643964316.28028,91.69,0,,,,,
96,04/02/2022 08:58:45,0,0.17,1.6,1643964737.93198,93.53,0,,,,,
