test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter,,,,,,
1,07/02/2022 01:43:35,1,0.27,2.11,131.946379899979,124.55,0,,,,,,
2,07/02/2022 01:46:23,1,0.3,2.23,137.220057249069,124.72,0,,,,,,
3,07/02/2022 01:49:12,1,0.28,2.21,139.045749187469,123.8,0,,,,,,
5,07/02/2022 02:02:19,1,0.26,1.99,137.215768575668,124.38,0,,,,,,
6,07/02/2022 02:05:02,1,0.28,2.13,132.233730792999,124.58,0,,,,,,
7,07/02/2022 02:07:50,1,0.26,2.06,137.084812641144,124.65,0,,,,,,
8,07/02/2022 02:10:36,1,0.27,2.12,136.049646854401,124.46,0,,,,,,
9,07/02/2022 02:13:19,1,0.27,2.11,132.758556365967,124.01,0,,,,,,
10,07/02/2022 02:16:06,1,0.27,2.14,135.833159685135,124.15,0,,,average_success,whole_average_sii,whole_average_rmi,whole_average_time
11,07/02/2022 02:18:49,1,0.28,2.2,133.228457689285,123.46,0,,,100.0%,0.27,2.12,142.07
12,07/02/2022 02:21:34,1,0.26,2,134.121683835983,123.59,0,,standard_deviation,0,0.02,0.11,20.40
13,07/02/2022 02:24:21,1,0.27,2.13,137.317179441452,123.84,0,,,,,,
14,07/02/2022 02:27:21,1,0.3,2.29,149.078406810761,124.78,0,,,,,,
15,07/02/2022 02:31:04,1,0.37,2.69,192.387785196304,124.27,0,,,,,,
16,07/02/2022 02:33:53,1,0.28,2.11,139.38657283783,124.01,0,,,,,,
17,07/02/2022 02:36:37,1,0.26,2.05,133.167525053024,123.92,0,,,,,,
18,07/02/2022 02:39:21,1,0.26,1.99,133.423101663589,123.58,0,,,,,,
19,07/02/2022 02:42:09,1,0.27,2.04,137.908700227737,124.24,0,,,,,,
20,07/02/2022 02:44:57,1,0.26,2.04,136.982209205627,124.47,0,,,,,,
21,07/02/2022 02:47:45,1,0.26,2.08,137.340488195419,123.6,0,,,,,,
22,07/02/2022 02:50:34,1,0.26,2.02,138.76432466507,124.07,0,,,,,,
23,07/02/2022 02:53:19,1,0.27,2.06,135.501328468323,123.91,0,,,,,,
24,07/02/2022 02:56:04,1,0.26,2.06,134.179969549179,123.9,0,,,,,,
25,07/02/2022 02:58:52,1,0.27,2.11,137.606526136398,124.45,0,,,,,,
26,07/02/2022 03:01:40,1,0.26,2.02,137.764261245728,124.48,0,,,,,,
27,07/02/2022 03:04:25,1,0.26,2.02,134.69788980484,123.71,0,,,,,,
28,07/02/2022 03:07:27,1,0.28,2.14,150.856260061264,124.51,0,,,,,,
29,07/02/2022 03:10:12,1,0.27,2.02,135.116217374802,123.99,0,,,,,,
30,07/02/2022 03:12:57,1,0.27,2.09,133.758619785309,124.32,0,,,,,,
31,07/02/2022 03:15:57,1,0.3,2.3,150.145393371582,123.63,0,,,,,,
32,07/02/2022 03:18:43,1,0.27,2.1,135.356373786926,123.94,0,,,,,,
33,07/02/2022 03:21:39,1,0.31,2.36,145.930040597916,124.41,0,,,,,,
34,07/02/2022 03:24:25,1,0.28,2.18,134.931500673294,123.99,0,,,,,,
35,07/02/2022 03:27:07,1,0.28,2.21,132.217198848724,123.66,0,,,,,,
37,07/02/2022 03:40:12,1,0.25,1.96,134.195954799652,124.32,0,,,,,,
38,07/02/2022 03:42:57,1,0.27,2.11,135.026340961456,124.39,0,,,,,,
40,07/02/2022 03:56:05,1,0.29,2.2,137.603369235992,124.14,0,,,,,,
41,07/02/2022 03:58:52,1,0.3,2.21,136.261922597885,124.22,0,,,,,,
42,07/02/2022 04:01:36,1,0.27,2.06,133.669868946075,124.16,0,,,,,,
43,07/02/2022 04:04:20,1,0.27,2.06,133.291096448898,123.65,0,,,,,,
