test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter
1,09/02/2022 12:01:11,1,0.27,2.17,146.59549570083618,121.76,1
2,09/02/2022 12:04:27,1,0.27,2.06,165.3014178276062,121.15,1
3,09/02/2022 12:07:12,1,0.27,2.15,134.6267921924591,123.05,1
4,09/02/2022 12:10:17,1,0.26,2.1,154.80039715766907,116.77,1
5,09/02/2022 12:13:19,1,0.28,2.13,151.57689499855042,119.56,1
6,09/02/2022 12:16:25,1,0.27,2.09,155.63992142677307,118.09,1
7,09/02/2022 12:19:18,1,0.27,2.04,142.12767672538757,121.4,2
8,09/02/2022 12:22:02,1,0.27,2.07,134.31463313102722,123.01,1
9,09/02/2022 12:24:55,1,0.27,2.09,142.89440298080444,121.24,1
10,09/02/2022 12:27:51,1,0.27,2.13,145.14053606987,122.35,2
11,09/02/2022 12:30:44,1,0.26,2.09,143.0204153060913,120.9,1
12,09/02/2022 12:33:39,1,0.27,2.12,144.73207759857178,122.48,1
13,09/02/2022 12:36:31,1,0.26,2.03,140.63180446624756,122.08,3
14,09/02/2022 12:39:26,1,0.29,2.21,145.12907886505127,122.4,1
15,09/02/2022 12:42:16,1,0.27,2.05,138.80135011672974,122.0,1
16,09/02/2022 12:45:03,1,0.27,2.12,137.3213541507721,122.05,1
17,09/02/2022 12:48:04,1,0.27,2.14,150.26917457580566,120.56,1
18,09/02/2022 14:49:57,1,0.27,2.13,136.8573248386383,124.18,3
19,09/02/2022 14:52:41,1,0.27,2.11,133.84571146965027,124.46,1
20,09/02/2022 14:55:26,1,0.27,2.09,135.00675296783447,124.43,1
21,09/02/2022 14:58:09,1,0.27,2.05,132.96689772605896,124.42,1
22,09/02/2022 15:00:53,1,0.26,2.01,133.62051224708557,124.32,1
23,09/02/2022 15:03:43,1,0.27,2.12,140.0907108783722,124.23,1
24,09/02/2022 15:06:26,1,0.26,1.97,132.60987639427185,124.4,1
25,09/02/2022 15:09:13,1,0.28,2.13,136.8864266872406,125.03,1
26,09/02/2022 15:11:57,1,0.29,2.2,133.6662998199463,124.35,2
27,09/02/2022 15:14:53,1,0.27,2.1,145.751478433609,123.89,2
28,09/02/2022 15:17:37,1,0.27,2.17,133.77282857894897,124.24,1
29,09/02/2022 15:20:24,1,0.27,2.02,137.18726897239685,124.37,1
30,09/02/2022 15:23:07,1,0.27,2.06,133.16080498695374,124.24,1
31,09/02/2022 15:25:56,1,0.27,2.05,138.14384055137634,124.31,1
32,09/02/2022 15:28:42,1,0.27,2.12,135.53918552398682,124.23,1
33,09/02/2022 15:31:26,1,0.27,2.02,133.97063660621643,124.1,1
34,09/02/2022 15:34:07,1,0.28,2.17,131.32216501235962,124.52,1
35,09/02/2022 15:36:54,1,0.28,2.15,136.3855197429657,124.91,1
36,09/02/2022 15:39:51,1,0.27,2.04,146.52275681495667,124.46,1
37,09/02/2022 15:42:35,1,0.26,1.98,133.70828104019165,124.27,1
38,09/02/2022 15:45:18,1,0.28,2.14,132.61456060409546,124.57,2
39,09/02/2022 15:48:02,1,0.27,2.13,134.04799675941467,124.35,2
40,09/02/2022 15:50:47,1,0.26,2.03,134.74804019927979,124.45,1
41,09/02/2022 15:53:34,1,0.26,2.05,137.30872988700867,124.53,3
42,09/02/2022 15:56:19,1,0.28,2.11,134.55951738357544,124.66,4
43,09/02/2022 15:59:02,1,0.26,2.04,133.1355538368225,124.06,1
44,09/02/2022 16:01:46,1,0.28,2.16,133.85666012763977,124.02,1
45,09/02/2022 16:04:33,1,0.29,2.32,136.15196442604065,124.6,1
46,09/02/2022 16:07:15,1,0.27,2.1,132.05155324935913,124.06,1
47,09/02/2022 16:09:58,1,0.3,2.28,133.02951073646545,124.67,1
48,09/02/2022 16:12:44,1,0.28,2.17,135.80566811561584,124.55,1
49,09/02/2022 16:15:29,1,0.28,2.14,135.1310544013977,124.61,1
50,09/02/2022 16:18:14,1,0.27,2.06,134.44006395339966,124.74,1
51,09/02/2022 16:20:55,1,0.27,2.13,131.20906019210815,124.42,4
52,09/02/2022 16:23:39,1,0.27,2.06,133.47135996818542,124.06,1
53,09/02/2022 16:26:24,1,0.29,2.18,134.54069781303406,124.44,1
54,09/02/2022 16:29:11,1,0.27,2.09,136.8652799129486,124.7,1
55,09/02/2022 16:31:58,1,0.26,2.04,136.61084389686584,124.89,1
56,09/02/2022 16:34:45,1,0.29,2.28,136.71539306640625,124.18,3
57,09/02/2022 16:37:32,1,0.26,2.05,137.6689338684082,124.35,1
58,09/02/2022 16:40:16,1,0.27,2.04,133.46319699287415,124.34,1
59,09/02/2022 16:43:04,1,0.28,2.12,138.15934109687805,124.14,1
60,09/02/2022 16:45:47,1,0.28,2.1,132.48925352096558,124.87,1
61,09/02/2022 16:48:29,1,0.26,2.06,132.3089301586151,123.84,1
63,09/02/2022 17:01:36,1,0.28,2.08,136.83933782577515,124.53,1
64,09/02/2022 17:04:26,1,0.28,2.11,140.17973446846008,124.42,1
65,09/02/2022 17:07:12,1,0.26,1.98,135.80851221084595,125.17,3
66,09/02/2022 17:10:01,1,0.27,2.08,138.2303659915924,124.53,1
67,09/02/2022 17:12:59,1,0.3,2.31,148.42271900177002,124.67,1
68,09/02/2022 17:15:45,1,0.27,2.11,135.56548738479614,124.75,1
69,09/02/2022 17:18:31,1,0.29,2.16,136.2447419166565,124.63,1
71,09/02/2022 17:31:34,1,0.29,2.2,133.5486605167389,124.57,1
72,09/02/2022 17:34:20,1,0.28,2.18,135.48356986045837,124.58,1
73,09/02/2022 17:37:01,1,0.28,2.1,131.0319595336914,124.38,1
74,09/02/2022 17:39:49,1,0.27,2.05,137.74164366722107,124.71,1
75,09/02/2022 17:42:35,1,0.26,2.01,135.53158378601074,124.43,1
76,09/02/2022 17:45:20,1,0.28,2.19,135.1085832118988,124.7,3
77,09/02/2022 17:48:04,1,0.27,2.13,134.35956144332886,124.4,1
78,09/02/2022 17:50:49,1,0.27,2.14,133.94759726524353,124.26,1
79,09/02/2022 17:53:35,1,0.3,2.31,136.0588572025299,124.41,3
80,09/02/2022 17:56:32,1,0.32,2.39,146.58842301368713,124.52,1
81,09/02/2022 17:59:19,1,0.27,2.05,137.35970258712769,125.44,1
82,09/02/2022 18:02:04,1,0.26,2.02,134.03437304496765,124.01,1
83,09/02/2022 18:04:47,1,0.28,2.15,133.55498051643372,123.84,2
84,09/02/2022 18:07:32,1,0.27,2.13,134.95693016052246,124.6,1
86,09/02/2022 18:20:35,1,0.29,2.17,133.87487530708313,124.59,1
87,09/02/2022 18:23:32,1,0.32,2.45,146.2854323387146,124.9,1
88,09/02/2022 18:26:17,1,0.28,2.16,134.93704533576965,124.5,1
89,09/02/2022 18:29:00,1,0.29,2.28,133.39529418945312,124.05,1
90,09/02/2022 18:31:44,1,0.26,2.03,133.68342447280884,124.31,1
91,09/02/2022 18:34:32,1,0.27,2.13,137.27865552902222,124.34,1
92,09/02/2022 18:37:16,1,0.28,2.21,133.981547832489,124.4,1
93,09/02/2022 18:40:00,1,0.26,2.03,133.62224411964417,123.99,1
94,09/02/2022 18:42:48,1,0.3,2.26,138.29255199432373,124.59,1
95,09/02/2022 18:45:48,1,0.31,2.33,149.1081292629242,124.26,1
96,09/02/2022 18:48:31,1,0.27,2.14,133.0922966003418,124.31,1
97,09/02/2022 18:51:13,1,0.29,2.19,132.16153359413147,124.1,1
98,09/02/2022 18:53:57,1,0.27,2.06,133.04988861083984,124.05,1
100,09/02/2022 19:07:02,1,0.28,2.16,135.6668791770935,124.56,1
101,09/02/2022 19:09:48,1,0.29,2.27,135.92496347427368,124.42,1
103,09/02/2022 19:22:52,1,0.27,2.15,134.44148302078247,124.54,3
104,09/02/2022 19:25:38,1,0.27,2.12,135.83162546157837,124.7,2
105,09/02/2022 19:28:26,1,0.27,2.11,138.32383394241333,124.42,1
106,09/02/2022 19:31:15,1,0.27,2.02,138.2708225250244,124.63,1
107,09/02/2022 19:34:02,1,0.29,2.18,136.89070916175842,124.53,1
108,09/02/2022 19:36:47,1,0.26,2.08,134.56608390808105,124.64,1
109,09/02/2022 19:39:33,1,0.28,2.09,135.98545336723328,124.28,1
110,09/02/2022 19:42:16,1,0.28,2.18,133.263085603714,124.23,1
111,09/02/2022 19:45:02,1,0.27,2.07,135.84741020202637,124.28,2
112,09/02/2022 19:47:48,1,0.27,2.11,135.97895526885986,124.44,5
