test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter
3,02/02/2022 16:00:12,1,0.04,0.95,243.09973335266113,28.36,0
4,02/02/2022 16:04:30,1,0.04,0.98,224.75231313705444,28.57,0
5,02/02/2022 16:09:03,1,0.02,0.88,238.6765058040619,29.01,0
6,02/02/2022 16:13:53,1,0.01,0.8,255.92041158676147,29.58,0
8,02/02/2022 16:41:19,0,0.01,0.65,1643819292.0455906,28.46,1
14,02/02/2022 17:55:07,1,0.07,1.06,285.366929769516,29.91,0
16,02/02/2022 18:13:22,1,0.01,0.82,239.73646783828735,29.61,1
17,02/02/2022 18:18:44,1,0.06,1.08,288.5354528427124,29.48,1
25,02/02/2022 19:59:30,1,0.03,0.85,261.2729618549347,31.15,1
26,02/02/2022 20:04:02,1,0.01,0.77,238.08220839500427,31.69,0
28,02/02/2022 20:31:25,0,0.02,0.75,1643833097.6113422,29.88,1
29,02/02/2022 20:37:18,1,0.05,0.97,318.9314432144165,29.24,1
30,02/02/2022 20:49:50,1,0.02,0.92,718.2343587875366,17.87,1
33,02/02/2022 22:08:42,1,0.05,1.04,386.70769691467285,30.19,0
34,02/02/2022 22:14:08,1,0.03,0.9,292.60677003860474,27.96,0
35,02/02/2022 22:20:23,1,0.02,0.86,341.05446910858154,28.74,0
38,03/02/2022 00:27:58,1,0.04,0.96,415.7608153820038,26.81,0
39,03/02/2022 00:36:21,1,0.03,0.86,356.61083722114563,27.83,1
41,03/02/2022 01:03:44,0,0.01,0.75,1643849436.9574366,29.27,1
42,03/02/2022 01:08:04,1,0.03,0.87,225.77153491973877,28.91,0
46,03/02/2022 08:18:59,1,0.02,0.84,333.89209032058716,29.75,1
48,03/02/2022 08:38:48,1,0.03,0.83,331.98753333091736,29.67,1
49,03/02/2022 08:45:57,1,0.02,0.83,395.78168654441833,25.35,1
50,03/02/2022 08:51:39,1,0.04,0.92,305.91350293159485,29.61,1
51,03/02/2022 09:05:20,0,0.01,0.79,1643878333.2492006,17.13,1
52,03/02/2022 09:11:20,1,0.01,0.8,325.3663218021393,28.54,0
53,03/02/2022 09:17:15,1,0.01,0.78,320.2399308681488,28.11,0
54,03/02/2022 09:24:28,1,0.04,0.99,399.38998460769653,25.4,1
