test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter,,,,,,,,
7,03/02/2022 14:07:56,0,0.23,1.87,1643896887.35829,31.18,0,,,,,,,,
11,03/02/2022 14:23:37,0,0.15,1.6,1643897828.49085,32.72,1,,,,,,,,
22,03/02/2022 15:11:25,0,0.03,1.14,1643900695.8667,33.11,1,,,,,,,,
26,03/02/2022 15:30:49,0,0.05,1.21,1643901860.49608,30.8,0,,,average_success,whole_average_sii,whole_average_rmi,,,
42,03/02/2022 16:40:09,0,0.14,1.56,1643906020.71606,37.88,0,,,81.00%,0.1427,1.5041,,,
49,03/02/2022 17:22:10,0,0.02,0.86,1643908869.38403,38.21,0,,,,,,,,
60,04/02/2022 10:45:34,0,0.19,1.6,1643971145.77563,22.71,1,,,,,,,,
74,04/02/2022 11:47:01,0,0.08,1.36,1643974832.56476,37.38,0,,,,,,,,
81,04/02/2022 12:18:31,0,0.02,1.13,1643976722.22517,36.84,0,,,only_succeeded,,,,,
88,04/02/2022 12:46:47,0,0.03,1.21,1643978418.65377,27.82,1,,,,succeeded_average_sii,succeeded_average_rmi,succeeded_average_time (s),succeeded_average_cpu (%),counter
91,04/02/2022 13:08:54,0,0.05,1.32,1643979745.69623,16.08,1,,,,0.12,1.22,136.06,31.66,0.09
93,04/02/2022 13:20:28,0,0.03,1.22,1643980438.98481,31.24,0,,,standard_deviation,0.04,0.15,69.05,2.64,0.316227766016838
96,04/02/2022 13:31:19,0,0.05,1.25,1643981090.27819,40.24,0,,,,,,,,
101,04/02/2022 13:54:32,0,0.29,2.06,1643982483.16086,29.18,0,,,,,,,,
103,04/02/2022 14:04:22,0,0.11,1.55,1643983073.79166,16.62,1,,,,,,,,
106,04/02/2022 14:16:31,0,0.43,2.6,1643983802.66859,24.27,0,,,,,,,,
107,04/02/2022 14:23:31,0,0.15,1.59,1643984221.97784,17.98,1,,,,,,,,
115,04/02/2022 14:56:19,0,0.09,1.41,1643986189.99678,23.69,1,,,,,,,,
120,04/02/2022 15:19:07,0,0.07,1.39,1643987558.56605,21.87,1,,,,,,,,
2,03/02/2022 13:42:23,1,0.11,1.48,251.581933021545,37.47,0,,,,,,,,
3,03/02/2022 13:45:49,1,0.14,1.5,175.051621198654,38.52,0,,,,,,,,
5,03/02/2022 13:57:41,1,0.09,1.32,262.896369218826,35.45,1,,,,,,,,
6,03/02/2022 14:00:56,1,0.16,1.54,164.604156970978,39.08,0,,,,,,,,
8,03/02/2022 14:11:15,1,0.18,1.63,168.533148527145,37.55,0,,,,,,,,
9,03/02/2022 14:14:25,1,0.19,1.64,158.871185541153,43.16,0,,,,,,,,
10,03/02/2022 14:16:38,1,0.13,1.39,102.799372673035,40.99,0,,,,,,,,
12,03/02/2022 14:26:54,1,0.16,1.56,166.471979141235,39.8,0,,,,,,,,
13,03/02/2022 14:28:57,1,0.08,1.08,92.1158368587494,39.74,0,,,,,,,,
14,03/02/2022 14:32:12,1,0.17,1.66,164.230765581131,34.82,0,,,,,,,,
15,03/02/2022 14:35:55,1,0.15,1.6,193.031829118729,34.33,0,,,,,,,,
16,03/02/2022 14:42:00,1,0.15,1.61,334.209506511688,36.94,0,,,,,,,,
17,03/02/2022 14:44:34,1,0.13,1.41,123.40411067009,38.55,0,,,,,,,,
19,03/02/2022 14:54:10,1,0.13,1.44,125.95555639267,41.44,0,,,,,,,,
20,03/02/2022 14:57:25,1,0.14,1.43,164.28749537468,39.48,0,,,,,,,,
23,03/02/2022 15:14:16,1,0.08,1.1,139.409261465073,33.97,0,,,,,,,,
24,03/02/2022 15:19:40,1,0.18,1.67,291.436319112778,31.75,0,,,,,,,,
25,03/02/2022 15:23:47,1,0.11,1.38,215.078723907471,32.89,0,,,,,,,,
27,03/02/2022 15:33:38,1,0.17,1.56,136.218398094177,31.03,0,,,,,,,,
29,03/02/2022 15:42:21,1,0.11,1.24,71.4954400062561,41.28,0,,,,,,,,
30,03/02/2022 15:44:29,1,0.14,1.4,96.9160220623016,41.29,0,,,,,,,,
31,03/02/2022 15:48:04,1,0.17,1.61,184.498311758041,42.95,0,,,,,,,,
32,03/02/2022 15:50:21,1,0.18,1.6,106.281804561615,42.48,0,,,,,,,,
33,03/02/2022 15:52:59,1,0.14,1.41,127.607446908951,42.49,0,,,,,,,,
34,03/02/2022 15:57:59,1,0.11,1.39,268.758356332779,39.72,1,,,,,,,,
36,03/02/2022 16:08:42,1,0.09,1.34,193.738214731216,37.59,0,,,,,,,,
37,03/02/2022 16:11:42,1,0.21,1.76,149.653570890427,37.48,0,,,,,,,,
38,03/02/2022 16:14:24,1,0.14,1.46,131.514290332794,40.34,0,,,,,,,,
39,03/02/2022 16:18:56,1,0.17,1.61,241.266697883606,36.76,1,,,,,,,,
40,03/02/2022 16:22:10,1,0.15,1.5,164.08750629425,40.3,0,,,,,,,,
41,03/02/2022 16:26:10,1,0.16,1.6,209.115785360336,34.44,1,,,,,,,,
44,03/02/2022 17:00:37,1,0.1,1.4,357.569391489029,37.11,1,,,,,,,,
46,03/02/2022 17:10:02,1,0.12,1.45,115.765743255615,37.57,0,,,,,,,,
48,03/02/2022 17:20:39,1,0.16,1.63,186.20014333725,37.37,0,,,,,,,,
51,03/02/2022 17:33:03,1,0.16,1.49,159.406059980392,39.45,0,,,,,,,,
53,04/02/2022 10:15:35,1,0.11,1.36,208.229322195053,40.37,0,,,,,,,,
54,04/02/2022 10:18:54,1,0.16,1.6,168.376057624817,37.57,0,,,,,,,,
55,04/02/2022 10:21:29,1,0.2,1.69,124.432819366455,40.33,0,,,,,,,,
57,04/02/2022 10:32:07,1,0.12,1.42,188.724814414978,41.57,0,,,,,,,,
58,04/02/2022 10:36:10,1,0.09,1.39,213.078090429306,33.15,1,,,,,,,,
59,04/02/2022 10:38:35,1,0.12,1.43,114.951193332672,39.89,0,,,,,,,,
62,04/02/2022 10:56:03,1,0.2,1.77,179.631403684616,37.12,0,,,,,,,,
63,04/02/2022 10:59:09,1,0.17,1.6,155.353471517563,38.23,0,,,,,,,,
64,04/02/2022 11:02:35,1,0.16,1.61,175.286161661148,38.65,0,,,,,,,,
65,04/02/2022 11:05:04,1,0.17,1.57,119.216621398926,41.3,0,,,,,,,,
68,04/02/2022 11:21:54,1,0.14,1.46,140.327902317047,39.7,0,,,,,,,,
69,04/02/2022 11:23:29,1,0.11,1.3,64.7886736392975,41.16,0,,,,,,,,
70,04/02/2022 11:30:13,1,0.15,1.54,374.376264333725,38.49,0,,,,,,,,
71,04/02/2022 11:32:53,1,0.2,1.75,129.81719660759,39.12,0,,,,,,,,
72,04/02/2022 11:35:54,1,0.24,1.86,149.945862770081,42.23,0,,,,,,,,
73,04/02/2022 11:40:02,1,0.1,1.41,218.054371118546,36.26,1,,,,,,,,
75,04/02/2022 11:49:43,1,0.22,1.75,131.90907907486,42.97,0,,,,,,,,
76,04/02/2022 11:52:45,1,0.17,1.59,151.660051345825,38.99,0,,,,,,,,
79,04/02/2022 12:09:10,1,0.13,1.39,115.114279747009,39.75,0,,,,,,,,
80,04/02/2022 12:11:31,1,0.21,1.74,111.563035488129,39.4,0,,,,,,,,
83,04/02/2022 12:29:22,1,0.14,1.47,200.537397146225,39.21,0,,,,,,,,
84,04/02/2022 12:32:19,1,0.19,1.68,146.594925880432,41.96,0,,,,,,,,
85,04/02/2022 12:34:41,1,0.15,1.45,111.741075277328,42.47,0,,,,,,,,
86,04/02/2022 12:37:44,1,0.17,1.48,152.577107191086,41.96,0,,,,,,,,
87,04/02/2022 12:39:48,1,0.18,1.58,93.5441184043884,40.63,0,,,,,,,,
89,04/02/2022 12:48:46,1,0.13,1.43,88.389466047287,41.51,0,,,,,,,,
90,04/02/2022 12:54:56,1,0.08,1.33,339.523566961288,39.53,1,,,,,,,,
92,04/02/2022 13:13:28,1,0.13,1.56,243.837642908096,39.06,0,,,,,,,,
94,04/02/2022 13:22:47,1,0.18,1.56,108.985931634903,41.32,0,,,,,,,,
95,04/02/2022 13:24:20,1,0.13,1.35,62.854654788971,39.89,0,,,,,,,,
98,04/02/2022 13:41:17,1,0.16,1.57,148.040277719498,38.51,0,,,,,,,,
99,04/02/2022 13:43:23,1,0.12,1.31,96.2412061691284,39.77,0,,,,,,,,
100,04/02/2022 13:47:32,1,0.15,1.55,219.322422027588,40.65,0,,,,,,,,
102,04/02/2022 13:57:23,1,0.19,1.68,140.868544816971,41.19,0,,,,,,,,
104,04/02/2022 14:07:14,1,0.19,1.62,141.600865840912,39.7,0,,,,,,,,
105,04/02/2022 14:09:32,1,0.16,1.57,107.518641233444,38.43,0,,,,,,,,
108,04/02/2022 14:26:27,1,0.19,1.6,145.812714576721,41.97,0,,,,,,,,
109,04/02/2022 14:28:43,1,0.15,1.52,106.261846542358,41.72,0,,,,,,,,
110,04/02/2022 14:33:10,1,0.08,1.24,236.734829425812,39.69,0,,,,,,,,
111,04/02/2022 14:39:58,1,0.1,1.45,377.252614498138,38.39,0,,,,,,,,
112,04/02/2022 14:42:44,1,0.14,1.49,136.114924669266,39.71,0,,,,,,,,
113,04/02/2022 14:45:09,1,0.19,1.62,114.555690765381,41.95,0,,,,,,,,
114,04/02/2022 14:49:19,1,0.15,1.56,220.314990520477,37.89,1,,,,,,,,
117,04/02/2022 15:05:36,1,0.2,1.62,106.765532970428,35.48,0,,,,,,,,
118,04/02/2022 15:08:02,1,0.17,1.67,116.206318855286,40.74,0,,,,,,,,
119,04/02/2022 15:12:08,1,0.11,1.4,215.237951278687,40.38,0,,,,,,,,
